@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %51s "LHC 6.5 with errors and orbit correction using MADX"
@ ORIGIN           %19s "MAD-X 4.01.42 Linux"
@ DATE             %08s "07/03/11"
@ TIME             %08s "07.50.25"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBV.15R4.B1"                       0                  0                  0                  0
 "MCBH.16R4.B1"                       0                  0   -4.541257222e-07                  0
 "MCBV.17R4.B1"                       0                  0                  0                  0
 "MCBH.18R4.B1"                       0                  0   -1.169199473e-06                  0
 "MCBV.19R4.B1"                       0                  0                  0                  0
 "MCBH.20R4.B1"                       0                  0   -1.042707474e-06                  0
 "MCBV.21R4.B1"                       0                  0                  0                  0
 "MCBH.22R4.B1"                       0                  0   -2.325526148e-07                  0
 "MCBV.23R4.B1"                       0                  0                  0                  0
 "MCBH.24R4.B1"                       0                  0   -1.358330948e-06                  0
 "MCBV.25R4.B1"                       0                  0                  0                  0
 "MCBH.26R4.B1"                       0                  0   -4.498227034e-06                  0
 "MCBV.27R4.B1"                       0                  0                  0                  0
 "MCBH.28R4.B1"                       0                  0   -1.965921838e-06                  0
 "MCBV.29R4.B1"                       0                  0                  0                  0
 "MCBH.30R4.B1"                       0                  0   -2.039135434e-06                  0
 "MCBV.31R4.B1"                       0                  0                  0                  0
 "MCBH.32R4.B1"                       0                  0   -1.367073739e-06                  0
 "MCBV.33R4.B1"                       0                  0                  0                  0
 "MCBH.34L5.B1"                       0                  0     2.26180139e-06                  0
 "MCBV.33L5.B1"                       0                  0                  0                  0
 "MCBH.32L5.B1"                       0                  0   -1.022905926e-06                  0
 "MCBV.31L5.B1"                       0                  0                  0                  0
 "MCBH.30L5.B1"                       0                  0    2.217877889e-06                  0
 "MCBV.29L5.B1"                       0                  0                  0                  0
 "MCBH.28L5.B1"                       0                  0   -4.534852633e-07                  0
 "MCBV.27L5.B1"                       0                  0                  0                  0
 "MCBH.26L5.B1"                       0                  0     4.34027228e-07                  0
 "MCBV.25L5.B1"                       0                  0                  0                  0
 "MCBH.24L5.B1"                       0                  0    6.584171788e-07                  0
 "MCBV.23L5.B1"                       0                  0                  0                  0
 "MCBH.22L5.B1"                       0                  0    1.899540221e-07                  0
 "MCBV.21L5.B1"                       0                  0                  0                  0
 "MCBH.20L5.B1"                       0                  0   -6.043305038e-07                  0
 "MCBV.19L5.B1"                       0                  0                  0                  0
 "MCBH.18L5.B1"                       0                  0    4.924387205e-06                  0
 "MCBV.17L5.B1"                       0                  0                  0                  0
 "MCBH.16L5.B1"                       0                  0    1.200679835e-07                  0
 "MCBV.15L5.B1"                       0                  0                  0                  0
 "MCBH.14L5.B1"                       0                  0   -5.781201762e-07                  0
 "MCBV.13L5.B1"                       0                  0                  0                  0
 "MCBH.12L5.B1"                       0                  0    1.464400848e-07                  0
 "MCBV.11L5.B1"                       0                  0                  0                  0
 "MCBCH.10L5.B1"                      0                  0    6.393216609e-08                  0
 "MCBCV.9L5.B1"                       0                  0                  0                  0
 "MCBCH.8L5.B1"                       0                  0   -4.132347749e-08                  0
 "MCBCV.7L5.B1"                       0                  0                  0                  0
 "MCBCH.6L5.B1"                       0                  0   -6.031081453e-05                  0
 "MCBCV.5L5.B1"                       0                  0                  0                  0
 "MCBYH.B4L5.B1"                      0                  0    7.208340336e-06                  0
 "MCBYV.4L5.B1"                       0                  0                  0                  0
 "MCBYH.A4L5.B1"                      0                  0    2.264766395e-05                  0
 "MCBXH.3L5"                          0                  0   -6.703206168e-10                  0
 "MCBXV.3L5"                          0                  0                  0                  0
 "MCBXH.2L5"                          0                  0    1.882381639e-09                  0
 "MCBXV.2L5"                          0                  0                  0                  0
 "MCBXH.1L5"                          0                  0    9.998031892e-06                  0
 "MCBXV.1L5"                          0                  0                  0                  0
 "MCBXH.1R5"                          0                  0   -1.000316907e-05                  0
 "MCBXV.1R5"                          0                  0                  0                  0
 "MCBXH.2R5"                          0                  0   -1.616000518e-07                  0
 "MCBXV.2R5"                          0                  0                  0                  0
 "MCBXH.3R5"                          0                  0    1.522390812e-07                  0
 "MCBXV.3R5"                          0                  0                  0                  0
 "MCBYV.A4R5.B1"                      0                  0                  0                  0
 "MCBYH.4R5.B1"                       0                  0    6.064696983e-05                  0
 "MCBYV.B4R5.B1"                      0                  0                  0                  0
 "MCBCH.5R5.B1"                       0                  0   -2.341256477e-06                  0
 "MCBCV.6R5.B1"                       0                  0                  0                  0
 "MCBCH.7R5.B1"                       0                  0    3.761210974e-08                  0
 "MCBCV.8R5.B1"                       0                  0                  0                  0
 "MCBCH.9R5.B1"                       0                  0   -4.963470928e-09                  0
 "MCBCV.10R5.B1"                      0                  0                  0                  0
 "MCBH.11R5.B1"                       0                  0    1.159591135e-06                  0
 "MCBV.12R5.B1"                       0                  0                  0                  0
 "MCBH.13R5.B1"                       0                  0   -7.081726217e-07                  0
 "MCBV.14R5.B1"                       0                  0                  0                  0
 "MCBH.15R5.B1"                       0                  0    -3.86153697e-06                  0
 "MCBV.16R5.B1"                       0                  0                  0                  0
 "MCBH.17R5.B1"                       0                  0    3.184007364e-07                  0
 "MCBV.18R5.B1"                       0                  0                  0                  0
 "MCBH.19R5.B1"                       0                  0    2.253074897e-06                  0
 "MCBV.20R5.B1"                       0                  0                  0                  0
 "MCBH.21R5.B1"                       0                  0    4.177874885e-06                  0
 "MCBV.22R5.B1"                       0                  0                  0                  0
 "MCBH.23R5.B1"                       0                  0    2.302102046e-06                  0
 "MCBV.24R5.B1"                       0                  0                  0                  0
 "MCBH.25R5.B1"                       0                  0    1.564091304e-06                  0
 "MCBV.26R5.B1"                       0                  0                  0                  0
