@ NAME             %07s "ROTATIONS"
@ TYPE             %07s "ROTATIONS"
@ TITLE            %11s "magnet rotations"
@ ORIGIN           %16s "MAD-X 2.12 Linux"
@ DATE             %08s "24/05/07"
@ TIME             %08s "15.00.00"
* NAME          YROTA      SROTA      INOUT
$ %s            %le        %le        %le
not found       -1         -1         -1
MS.26R6         0          0          1
MQS.27R6        0          0          1
MS.27R6         0          0          1
MO.28R6         0          0          1
MS.28R6         0          0          1
MO.29R6         0          0          1
MS.29R6         0          0          1
MO.30R6         0          0          1
MSS.30R6        0          0          1
MO.31R6         0          0          1
MS.31R6         0          0          1
MO.32R6         0          0          1
MS.32R6         0          0          1
MO.33R6         0          0          1
MS.33R6         0          0          1
MO.34R6         0          0          1
MSS.34L7        0          0          1
MO.33L7         0          0          1
MS.33L7         0          0          1
MO.32L7         0          0          1
MSS.32L7        0          0          1
MO.31L7         0          0          1
MS.31L7         0          0          1
MO.30L7         0          0          1
MS.30L7         0          0          1
MO.29L7         0          0          1
MS.29L7         0          0          1
MO.28L7         0          0          1
MSS.28L7        0          0          1
MQS.27L7        0          0          1
MS.27L7         0          0          1
MO.26L7         0          0          1
MS.26L7         0          0          1
MO.25L7         0          0          1
MS.25L7         0          0          1
MO.24L7         0          0          1
MS.24L7         0          0          1
MQS.23L7        0          0          1
MS.23L7         0          0          1
MO.22L7         0          0          1
MS.22L7         0          0          1
MQT.21L7        0          0          1
MS.21L7         0          0          1
MQT.20L7        0          0          1
MS.20L7         0          0          1
MQT.19L7        0          0          1
MS.19L7         0          0          1
MQT.18L7        0          0          1
MS.18L7         0          0          1
MQT.17L7        0          0          1
MS.17L7         0          0          1
MQT.16L7        0          0          1
MS.16L7         0          0          1
MQT.15L7        0          0          1
MS.15L7         0          0          1
MQT.14L7        0          0          1
MS.14L7         0          0          1
MQT.13L7        0          0          1
MS.13L7         0          0          1
MQT.12L7        0          0          1
MS.12L7         0          0          1
MQTLI.11L7      180        0          1
MCBH.11L7       180        0          1
MCBV.11L7       180        0          1
MS.11L7         0          0          1
MQTLI.10L7      180        0          1
MQTLI.B9L7      180        0          1
MQTLI.A9L7      180        0          1
MQTLI.8L7       180        0          1
MQTLI.7L7       180        0          1
MQTLH.F6L7      180        0          1
MQTLH.E6L7      180        0          1
MQTLH.D6L7      180        0          1
MQTLH.C6L7      180        0          1
MQTLH.B6L7      180        0          1
MQTLH.A6L7      180        0          1
MBW.D6L7        0          0          1
MBW.C6L7        0          0          1
MBW.B6L7        180        0          1
MBW.A6L7        180        0          1
MQWA.E5L7       180        0          1
MQWA.D5L7       180        0          1
MQWA.C5L7       180        0          1
MQWB.5L7        180        0          1
MQWA.B5L7       180        0          1
MQWA.A5L7       180        0          1
MQWA.E4L7       180        0          1
MQWA.D4L7       180        0          1
MQWA.C4L7       180        0          1
MQWB.4L7        180        0          1
MQWA.B4L7       180        0          1
MQWA.A4L7       180        0          1
MQWA.A4R7       0          0          1
MQWA.B4R7       0          0          1
MQWB.4R7        0          0          1
MQWA.C4R7       0          0          1
MQWA.D4R7       0          0          1
MQWA.E4R7       0          0          1
MQWA.A5R7       0          0          1
MQWA.B5R7       0          0          1
MQWB.5R7        0          0          1
MQWA.C5R7       0          0          1
MQWA.D5R7       0          0          1
MQWA.E5R7       0          0          1
MBW.A6R7        0          0          1
MBW.B6R7        0          0          1
MBW.C6R7        180        0          1
MBW.D6R7        180        0          1
MQTLH.A6R7      180        0          1
MQTLH.B6R7      180        0          1
MQTLH.C6R7      180        0          1
MQTLH.D6R7      180        0          1
MQTLH.E6R7      180        0          1
MQTLH.F6R7      180        0          1
MQTLI.7R7       180        0          1
MQTLI.8R7       180        0          1
MQTLI.A9R7      180        0          1
MQTLI.B9R7      180        0          1
MQTLI.10R7      180        0          1
MQTLI.11R7      180        0          1
MCBH.11R7       180        0          1
MCBV.11R7       180        0          1
MS.11R7         0          0          1
MQT.12R7        0          0          1
MS.12R7         0          0          1
MQT.13R7        0          0          1
MS.13R7         0          0          1
MQT.14R7        0          0          1
MS.14R7         0          0          1
MQT.15R7        0          0          1
MS.15R7         0          0          1
MQT.16R7        0          0          1
MS.16R7         0          0          1
